Name,Date,Amount lost,Chains,Classification,Technique,Language
Kinto Bridge,1752105600,1550000,Arbitrum,Protocol Logic,ERC1967Proxy Backdoor Hijack,Solidity
GMX V1 Perps,1752019200,42000000,Arbitrum,Protocol Logic,Re-entrancy Exploit,Solidity
Silo Finance,1750809600,546000,Ethereum,Protocol Logic,fillQuote silo.borrow() Exploit,Solidity
Resupply,1750809600,9600000,Ethereum,Protocol Logic,Price Oracle Manipulation,Solidity
ForceBridge,1749168000,3900000,Nervos,Protocol Logic,Acces Control Exploit,Rust
ALEX,1749168000,8373000,Stacks,Protocol Logic,malicious transfer() method,Clarity
Cork V1,1748390400,12000000,Ethereum,Protocol Logic,Access control bypass via hook,Solidity
Usual USD0,1748304000,43000,Ethereum,Protocol Logic,Arbitration Exploit,Solidity
Dexodus Finance,1748217600,300000,Base,Protocol Logic,Price Manipulation Attack,Solidity
Cetus CLMM,1747872000,223000000,Sui,Protocol Logic,Spoof Token Exploit,Move
Zunami Protocol,1747267200,500000,Ethereum,Protocol Logic,withdrawStuckToken() exploit,Solidity
Mobius Token,1746921600,2160000,BSC,Protocol Logic,Decimal Miscalculation Exploit,Solidity
LND,1746748800,1300000,"Sonic, Hyperliquid L1",Protocol Logic,,
Loopscale,1745625600,5800000,Solana,Protocol Logic,Price Oracle Manipulation,Rust
Impermax V3,1745625600,300000,Base,Protocol Logic,Flashloan Exploit,Solidity
Bitcoin Mission,1745280000,1300000,Arbitrum,Protocol Logic,overPaper Function Exploit,Solidity
KiloEx,1744588800,7500000,"BSC, Base, Taiko",Protocol Logic,Price Oracle Manipulation,Solidity
Tenderize V2,1743984000,10850,Ethereum,Protocol Logic,Proxy Upgrade Skim,Solidity
UPCX,1743465600,0,Ethereum,Protocol Logic,Upgraded ProxyAdmin + withdrawByAdmin Hack,Solidity
SIR,1743292800,355000,Ethereum,Protocol Logic,Transient storage collision,Solidity
Venus Core Pool,1743206400,902000,zkSync Era,Protocol Logic,Donation Attack,Solidity
Abracadabra Spell,1742860800,13000000,Arbitrum,Protocol Logic,,Solidity
1inch,1741305600,5000000,Ethereum,Protocol Logic,Calldata underflow and resolver hijack,Solidity
Hegic(old contract),1740787200,94000,Ethereum,Protocol Logic,Unlimited repeated withdrawal exploit,Solidity
Infini,1740355200,49500000,Ethereum,Protocol Logic,Dev Privilege Oversight Exploit,
Bybit,1740096000,1400000000,Ethereum,Protocol Logic,Safe Multisig wallet Phishing Exploit,Solidity
four.meme,1739232000,183000,BSC,Protocol Logic,Liquidity Pool Exploit,Solidity
zkLend,1739232000,9550000,Starknet,Protocol Logic,Empty Market Exploit,Cairo
Ionic Protocol,1738627200,4000000,Mode,Protocol Logic,Fake Collateral Exploit,Solidity
Sirio Finance,1738368000,2000000,Hedera,Protocol Logic,Flashloan Exploit,Solidity
Unilend V2,1736640000,197600,Ethereum,Protocol Logic,Redeem Process Exploit,Solidity
MoonHacker,1735776000,300000,Optimism,Protocol Logic,Unchecked FlashLoan Approve Exploit,Solidity
Fegex,1735430400,900000,"Ethereum, BSC, Base",Protocol Logic,Missing Access Control,Solidity
GemPad,1734393600,2000000,"Ethereum, Base, BSC",Protocol Logic,Reentrancy,
BTC24H,1734307200,85700,Polygon,Protocol Logic,Acces Control Exploit,
Clober Liquidity Vault,1733788800,500000,Base,Protocol Logic,Reentrancy,
Vestra DAO,1733270400,500000,Ethereum,Protocol Logic,Staking Logic Exploit,Solidity
Clipper,1733011200,450000,"Optimism, Base",Protocol Logic,API Signature Exploit,
Spectral Labs,1733011200,200000,Ethereum,Protocol Logic,Bonding Curve Exploit,
Tectonic,1731888000,0,Cronos,Protocol Logic,Price Oracle Attack,
Polter Finance,1731715200,12000000,Fantom,Protocol Logic,Flashloan Price Oracle Attack,
ThalaSwap,1731628800,25500000,Aptos,Protocol Logic,Drained Liquidity Pool,Move
zkFinance,1731283200,200000,zkSync Era,Protocol Logic,Oracle Misconfiguration Exploit,
DeltaPrime,1731283200,4800000,"Arbitrum, Avalanche",Protocol Logic,Debt Swap Exploit,Solidity
M2 Exchange,1730332800,13700000,"Ethereum, Solana, Bitcoin",Protocol Logic,Access Control Exploit,
Tapioca DAO,1729209600,4700000,Arbitrum,Protocol Logic,Private Key Compromised (Social Engineering),Solidity
Radiant V2,1729036800,53000000,"BSC, Arbitrum",Protocol Logic,Access Control Exploit,Solidity
LeadBlock's Morpho Blue Market,1728864000,250000,Ethereum,Protocol Logic,Oracle Misconfiguration Exploit,Solidity
Lava,1728000000,130000,Arbitrum,Protocol Logic,Flashloan Exploit,Solidity
uniBTC,1727308800,1700000,Ethereum,Protocol Logic,Minting Logic Exploit,Solidity
Onyx V2,1727308800,4000000,Ethereum,Protocol Logic,Liquidation Logic Exploit,Solidity
OcelotDex,1726790400,4900000,Ethereum,Protocol Logic,Infinite Mint and Dump,Solidity
Banana Gun,1726704000,3000000,Ethereum,Protocol Logic,Front-end vulnerability,
DeltaPrime,1726444800,5980000,Arbitrum,Protocol Logic,Private Key Compromised (Unknown Method),Solidity
WXETA,1726444800,110000,"Ethereum, BSC",Protocol Logic,Access Control Exploit,Solidity
Penpie,1725321600,27000000,Ethereum,Protocol Logic,Reentrancy,Solidity
PolyNetwork,1723420800,5000000,PolyNetwork,Protocol Logic,Reentrancy,Solidity
Nexera,1722988800,1800000,Ethereum,Protocol Logic,Ownership Override Attack,Solidity
Ronin Bridge,1722902400,12000000,Ethereum,Protocol Logic,MEV bot manipulation exploit,Solidity
Convergence,1722470400,210000,Ethereum,Protocol Logic,Missing Input Validation,Solidity
DeltaPrime,1721692800,1000000,Arbitrum,Protocol Logic,,Solidity
Rho Markets,1721347200,7600000,Scroll,Protocol Logic,Price Oracle Manipulation,Solidity
LiFi Finance,1721088000,9730000,"zkSync Era, Linea, Metis",Protocol Logic,Router Exploit via Infinite Approvals,Solidity
Minterest,1721001600,1400000,Mantle,Protocol Logic,Reentrancy,Solidity
Dough Finance,1720742400,1960000,Ethereum,Protocol Logic,Unvalidated call data exploit,Solidity
OKX NFT Aggregator,1718841600,14000,BSC,Protocol Logic,Access Control Exploit,Solidity
Holograph,1718236800,6700000,Ethereum,Protocol Logic,Infinite Mint and Dump,Solidity
YOLO Games,1718064000,1500000,Blast,Protocol Logic,Access Control Exploit,Solidity
Loopring,1717891200,5000000,Loopring,Protocol Logic,Guardian 2FA service exploit,
Velocore V2,1717286400,6800000,"Linea, zkSync Era",Protocol Logic,Fee Overflow Exploit,Solidity
Gala,1716163200,22000000,Ethereum,Protocol Logic,Infinite Mint and Dump,Solidity
Pike V1,1714435200,1600000,"Ethereum, Optimism, Arbitrum",Protocol Logic,Storage Misalignment Exploit,Solidity
Yield Protocol,1714435200,181000,Arbitrum,Protocol Logic,Balance Disparity Exploit,Solidity
Magpie Protocol,1713830400,129000,"Ethereum, Polygon, BSC, Blast, Avalanche, Arbitrum, Optimism, Base, zkSync Era, Polygon zkEVM",Protocol Logic,Router Exploit,Solidity
